ObjectiveValue	k1	k2	k3
59.2085	0.476247	0.471743	0.0577282
59.2083	0.475203	0.471799	0.0578048
59.2083	0.475651	0.472024	0.0578273
59.2083	0.475499	0.47189	0.057796
59.2083	0.475552	0.472001	0.0578144
59.2083	0.475536	0.471955	0.0578149
59.2083	0.475524	0.471945	0.0578133
59.2083	0.475519	0.471935	0.0578104
59.2083	0.475521	0.471938	0.057811
59.2083	0.475518	0.471984	0.0578103
59.2083	0.475546	0.471941	0.0578085
59.2083	0.475517	0.471943	0.057815
59.2083	0.475543	0.471945	0.0578087
59.2083	0.475532	0.471945	0.0578102
59.2083	0.475523	0.471945	0.0578104
59.2083	0.475528	0.471945	0.0578104
5929.31	10	0.0001	10
341.06	0.00257627	6.94976	3.02082
334.185	0.000723422	0.13792	0.0544746
331.755	0.000221459	0.00040117	0.000369405
293.083	0.00282469	0.0079131	0.00220016
288.949	0.113001	4.57512	0.797836
236.72	0.0155875	0.12555	0.197781
226.314	1.12685	1.4551	0.0001
224.026	1.25114	1.29978	0.0001
158.518	0.961488	0.673658	0.0001
133.723	0.751261	2.85749	4.00514
119.998	0.571048	0.549325	0.0001
106.363	0.275101	0.325863	0.0001
106.161	1.26369	0.940437	0.187958
73.1075	0.733328	0.689725	0.111856
62.9769	0.397765	0.466133	0.0742314
60.4036	0.556054	0.486303	0.05627
60.1837	0.537781	0.496674	0.0674921
59.9206	0.511271	0.46864	0.050947
59.7857	0.515388	0.477979	0.053296
59.3931	0.496424	0.466255	0.0586871
59.2968	0.480181	0.465644	0.0590496
59.2857	0.485793	0.485498	0.0614129
59.2788	0.480742	0.46161	0.0565795
59.2418	0.479599	0.475272	0.0600448
59.2205	0.470717	0.466652	0.0574161
59.2185	0.473176	0.466555	0.0570717
59.2171	0.470685	0.471004	0.0570416
59.2166	0.478874	0.476515	0.0581973
59.2149	0.472169	0.467612	0.0569609
59.2086	0.474488	0.471965	0.0578431
59.2085	0.475644	0.47134	0.0576534
59.2084	0.476008	0.472071	0.0578123
59.2084	0.475302	0.471651	0.0577979
59.2083	0.475262	0.471913	0.0577889
59.2083	0.475406	0.471912	0.057798
59.2083	0.475506	0.471937	0.0578092
59.2083	0.475518	0.471942	0.0578107
59.2083	0.47553	0.471948	0.0578123
59.2083	0.475528	0.471946	0.0578119
59.2083	0.475527	0.471946	0.0578116
59.2083	0.475531	0.471949	0.0578115
59.2083	0.475532	0.471947	0.0578104
59.2083	0.475531	0.471948	0.0578116
5929.31	10	0.0001	10
1834.95	0.385979	0.130958	0.534552
818.984	0.0111835	0.00013468	0.000754065
323.089	0.000444235	0.000213866	0.116521
114.931	0.616596	0.403375	0.000867819
111.717	1.61195	1.37902	0.282293
110.654	1.56193	1.32453	0.251301
97.5177	0.592891	1.16727	0.22032
72.2165	0.794912	0.547259	0.0598867
61.5542	0.529541	0.547807	0.0611954
59.4948	0.447195	0.447254	0.05568
59.2619	0.487104	0.467594	0.056495
59.2388	0.479194	0.472532	0.0562376
59.2173	0.472285	0.474206	0.0587284
59.2105	0.478603	0.47242	0.0580571
59.2098	0.47355	0.47253	0.0578371
59.2086	0.475999	0.471447	0.0577847
59.2086	0.475748	0.472381	0.0580195
59.2083	0.475675	0.471949	0.0578253
59.2083	0.475611	0.472003	0.0578248
59.2083	0.47553	0.471946	0.0578115
59.2083	0.475529	0.47195	0.0578119
59.2083	0.475522	0.471962	0.0578127
59.2083	0.475528	0.471943	0.057811
59.2083	0.475526	0.471947	0.0578119
59.2083	0.475524	0.471955	0.0578122
5929.31	10	0.0001	10
225.429	0.0237246	0.079161	0.00496481
188.884	5.77846	0.480035	0.0392872
112.049	0.471093	0.49083	0.0001
107.904	1.07319	0.63734	0.143773
100.074	0.750724	1.00788	0.271517
84.6117	0.627384	0.702953	0.169745
81.3339	0.60869	0.804194	0.0833184
60.792	0.525401	0.500144	0.0735171
59.2979	0.497693	0.481261	0.0597124
59.2099	0.477654	0.472657	0.057642
59.2093	0.474742	0.472672	0.0577266
59.209	0.475645	0.472161	0.0575851
59.2084	0.475701	0.471571	0.0577357
59.2084	0.474911	0.471756	0.0578206
59.2083	0.475204	0.471898	0.0578129
59.2083	0.475331	0.471947	0.0577971
59.2083	0.475456	0.471825	0.057796
59.2083	0.475564	0.471939	0.057802
59.2083	0.475551	0.471928	0.0578039
59.2083	0.475518	0.471937	0.0578156
59.2083	0.475559	0.47194	0.0578068
59.2083	0.475514	0.471968	0.0578158
59.2083	0.47552	0.471963	0.0578145
59.2083	0.475527	0.471942	0.057807
59.2083	0.475478	0.471967	0.0578188
59.2083	0.475529	0.471961	0.0578145
59.2083	0.475531	0.471961	0.0578132
59.2083	0.475531	0.471956	0.0578128
5929.31	10	0.0001	10
5500.73	2.02484	0.00068289	0.000388661
280.673	0.0936766	3.54187	5.49366
165.038	1.96265	9.07888	1.82884
112.189	2.92289	2.00149	0.360627
63.0449	0.390537	0.513953	0.0732188
61.7961	0.435109	0.524878	0.0775181
60.8441	0.556451	0.475506	0.0640987
59.8244	0.52795	0.473398	0.0602099
59.7536	0.467247	0.467373	0.0644119
59.6691	0.429419	0.445707	0.052893
59.575	0.467578	0.499746	0.0628417
59.2116	0.478431	0.470845	0.0575236
59.2094	0.473545	0.472175	0.0577822
59.2088	0.473892	0.471329	0.0576606
59.2086	0.474908	0.471146	0.0576437
59.2085	0.4762	0.471793	0.0577644
59.2084	0.475282	0.471652	0.0577793
59.2084	0.475228	0.471951	0.0577886
59.2083	0.475484	0.472032	0.0577911
59.2083	0.475501	0.471765	0.057765
59.2083	0.475388	0.472005	0.0578173
59.2083	0.475425	0.471987	0.0578039
59.2083	0.475353	0.4719	0.05781
59.2083	0.47546	0.47193	0.0577964
59.2083	0.475448	0.471908	0.0577979
59.2083	0.475462	0.471893	0.0578038
59.2083	0.475452	0.471902	0.0578052
59.2083	0.475509	0.471935	0.0578055
59.2083	0.475498	0.471937	0.0578125
59.2083	0.475557	0.471951	0.0578129
59.2083	0.475545	0.471957	0.0578159
59.2083	0.475538	0.471947	0.057814
59.2083	0.475505	0.471945	0.0578113
59.2083	0.475517	0.471934	0.0578107
59.2083	0.475512	0.471946	0.0578113
59.2083	0.475514	0.471945	0.0578106
59.2083	0.475513	0.471947	0.0578113
59.2083	0.475514	0.471943	0.0578103
59.2083	0.475514	0.471945	0.0578105
59.2083	0.475523	0.471945	0.0578106
59.2083	0.475527	0.471945	0.0578108
59.2083	0.475524	0.471946	0.0578106
59.2083	0.475526	0.471946	0.057811
59.2083	0.475523	0.471946	0.0578111
5929.31	10	0.0001	10
292.428	0.0679676	3.07912	0.797186
197.975	0.399015	1.90758	0.0683686
135.224	0.195039	0.486428	0.000325136
118.878	1.46443	0.572935	0.0876468
63.0558	0.352119	0.435096	0.0596242
61.6317	0.51367	0.513679	0.050686
60.0899	0.443751	0.502998	0.0622605
59.8493	0.459285	0.492901	0.0557954
59.6835	0.436716	0.479444	0.0603882
59.5128	0.453882	0.485947	0.0585509
59.4096	0.497763	0.49089	0.0583643
59.2871	0.485198	0.480175	0.0568705
59.2265	0.479469	0.47268	0.0591226
59.2222	0.475096	0.476963	0.0592253
59.2219	0.478268	0.467583	0.0567912
59.2124	0.472909	0.46998	0.057022
59.2099	0.476318	0.474114	0.0582107
59.2095	0.477421	0.473397	0.0579017
59.2089	0.476931	0.472598	0.0577868
59.2088	0.47568	0.471881	0.057578
59.2087	0.476723	0.472272	0.0577295
59.2087	0.475319	0.47156	0.0575815
59.2086	0.47608	0.471572	0.0576567
59.2084	0.475866	0.471576	0.0577585
59.2084	0.475705	0.472239	0.0579337
59.2084	0.475422	0.472234	0.0578263
59.2083	0.475648	0.47203	0.0578141
59.2083	0.475639	0.471949	0.0578122
59.2083	0.47564	0.47195	0.05781
59.2083	0.475649	0.471993	0.0578177
59.2083	0.475634	0.471973	0.0578098
59.2083	0.475632	0.471961	0.0578102
59.2083	0.475502	0.471983	0.0578071
59.2083	0.475532	0.471994	0.0578103
59.2083	0.475613	0.471985	0.0578201
59.2083	0.475577	0.472003	0.0578222
59.2083	0.475532	0.471995	0.0578158
59.2083	0.475537	0.471906	0.0578041
59.2083	0.475508	0.471909	0.057801
59.2083	0.475541	0.471986	0.0578184
59.2083	0.47557	0.472016	0.0578179
59.2083	0.475566	0.471965	0.057803
59.2083	0.475532	0.471962	0.0578062
59.2083	0.475555	0.471988	0.0578182
59.2083	0.475524	0.471961	0.0578091
59.2083	0.475525	0.471952	0.0578084
59.2083	0.475522	0.47194	0.0578082
59.2083	0.475522	0.471943	0.057809
5929.31	10	0.0001	10
3542.06	0.28385	0.00515896	0.00723312
2616.91	0.124901	0.00793553	0.0143377
430.238	0.00544734	0.000140223	0.00991887
276.469	0.0439449	1.48807	5.2656
131.293	6.05651	2.2002	0.26
130.873	4.63575	0.963551	0.133559
101.953	0.899547	1.1226	0.136826
76.3892	0.420212	0.686239	0.0711309
75.5501	0.305048	0.31984	0.050809
62.6891	0.567793	0.547666	0.0843518
62.5277	0.415928	0.463241	0.0739066
61.5038	0.551419	0.515694	0.0769021
61.0119	0.52958	0.552266	0.0729339
59.5774	0.482705	0.504708	0.0646986
59.3754	0.503202	0.47329	0.0588838
59.2689	0.493189	0.474068	0.0583013
59.263	0.493045	0.478582	0.0585254
59.2617	0.489429	0.47105	0.0566985
59.2515	0.471929	0.480714	0.0596362
59.2164	0.476099	0.467767	0.0570684
59.21	0.473542	0.472249	0.0576481
59.2095	0.477332	0.472705	0.0576949
59.2094	0.47544	0.473546	0.0580896
59.2094	0.475277	0.473046	0.0577854
59.209	0.474411	0.472466	0.0577976
59.2084	0.475444	0.471822	0.0576971
59.2084	0.475979	0.472385	0.0579026
59.2084	0.476109	0.472109	0.0578578
59.2084	0.475861	0.472339	0.0578986
59.2083	0.475714	0.472046	0.0578222
59.2083	0.475471	0.471968	0.057826
59.2083	0.475578	0.471995	0.0578185
59.2083	0.475527	0.471967	0.0578073
59.2083	0.475552	0.47199	0.0578213
59.2083	0.475519	0.471961	0.0578106
59.2083	0.475524	0.471952	0.0578163
59.2083	0.475523	0.471952	0.0578099
59.2083	0.475539	0.471949	0.0578111
59.2083	0.475521	0.471949	0.0578118
59.2083	0.475526	0.471949	0.0578125
59.2083	0.475529	0.471947	0.057812
59.2083	0.475527	0.471947	0.0578121
59.2083	0.475526	0.471947	0.0578107
59.2083	0.475519	0.471945	0.0578119
59.2083	0.475532	0.471947	0.0578106
59.2083	0.47553	0.471947	0.0578107
5929.31	10	0.0001	10
303.551	6.70327	5.96534	0.0811551
219.271	0.875853	1.55758	0.0024446
182.54	0.0657604	0.313355	0.720747
130.884	9.55105	0.853895	0.159877
128.955	2.54919	4.58383	1.52523
128.574	1.82544	5.07595	2.00176
116.518	10	1.08248	0.156801
115.124	9.809	1.71423	0.248452
111.919	6.98309	1.65371	0.265799
110.751	10	1.47662	0.248838
110.75	10	1.4572	0.247873
110.743	10	1.47078	0.250704
110.741	10	1.47786	0.251718
110.741	10	1.47536	0.251044
110.741	10	1.47715	0.251459
110.741	10	1.47714	0.251448
110.741	10	1.47654	0.251354
110.741	10	1.47685	0.251361
110.741	10	1.47679	0.25131
110.741	10	1.47663	0.25125
110.741	10	1.47676	0.251315
110.741	10	1.47659	0.251292
110.741	10	1.47654	0.251276
110.741	10	1.47646	0.25126
110.741	10	1.47642	0.251238
110.741	10	1.47639	0.25124
110.741	10	1.47639	0.251239
110.741	10	1.47638	0.251237
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.47639	0.251239
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
110.741	10	1.4764	0.25124
5929.31	10	0.0001	10
331.766	0.00249843	0.524374	5.99219
316.423	0.0969975	5.1404	0.0107753
309.414	0.000967904	0.000924204	0.0449118
284.493	0.0258801	0.689069	0.00042845
252.968	0.00987772	0.0505027	0.000400506
167.363	0.0682331	0.191849	0.000267703
167.143	0.401728	0.957972	0.000164275
