Time	IR_beta_pY1146	IRbetaPercent	InsulinPercent
2	0.0319176	8	4
2	0.0359073	9	4
2	0.039897	10	4
2	0.0438867	11	4
2	0.0478764	12	4
2	0.0518661	13	4
2	0.0558558	14	4
2	0.0598455	15	4
2	0.0638352	16	4
2	0.0678249	17	4
2	0.0718146	18	4
2	0.0758043	19	4
2	0.079794	20	4
2	0.0837837	21	4
2	0.0877734	22	4
2	0.0917631	23	4
2	0.0957528	24	4
2	0.0997425	25	4
2	0.103732	26	4
2	0.107722	27	4
2	0.111712	28	4
2	0.115701	29	4
2	0.119691	30	4
2	0.123681	31	4
2	0.12767	32	4
2	0.13166	33	4
2	0.13565	34	4
2	0.139639	35	4
2	0.143629	36	4
2	0.147619	37	4
2	0.151609	38	4
2	0.155598	39	4
2	0.159588	40	4
2	0.163578	41	4
2	0.167567	42	4
2	0.171557	43	4
2	0.175547	44	4
2	0.179536	45	4
2	0.183526	46	4
2	0.187516	47	4
2	0.191506	48	4
2	0.195495	49	4
2	0.199485	50	4
2	0.203475	51	4
2	0.207464	52	4
2	0.211454	53	4
2	0.215444	54	4
2	0.219433	55	4
2	0.223423	56	4
2	0.227413	57	4
2	0.231403	58	4
2	0.235392	59	4
2	0.239382	60	4
2	0.243372	61	4
2	0.247361	62	4
2	0.251351	63	4
2	0.255341	64	4
2	0.25933	65	4
2	0.26332	66	4
2	0.26731	67	4
2	0.2713	68	4
2	0.275289	69	4
2	0.279279	70	4
2	0.283269	71	4
2	0.287258	72	4
2	0.291248	73	4
2	0.295238	74	4
2	0.299227	75	4
2	0.303217	76	4
2	0.307207	77	4
2	0.311196	78	4
2	0.315186	79	4
2	0.319176	80	4
2	0.323166	81	4
2	0.327155	82	4
2	0.331145	83	4
2	0.335135	84	4
2	0.339124	85	4
2	0.343114	86	4
2	0.347104	87	4
2	0.351093	88	4
2	0.355083	89	4
2	0.359073	90	4
2	0.363063	91	4
2	0.367052	92	4
2	0.371042	93	4
2	0.375032	94	4
2	0.379021	95	4
2	0.383011	96	4
2	0.387001	97	4
2	0.39099	98	4
2	0.39498	99	4
2	0.39897	100	4
2	0	0	5
2	0.0049602	1	5
2	0.00992039	2	5
2	0.0148806	3	5
2	0.0198408	4	5
2	0.024801	5	5
2	0.0297612	6	5
2	0.0347214	7	5
2	0.0396816	8	5
2	0.0446418	9	5
2	0.049602	10	5
